international_id,position,dominant_hand,experience_level,years_played,years_pro,scout_notes
2712,defense,left,sophomore,0.0,0.0,
9851,defense,left,sophomore,7.0,7.0,loose positioning away from the puck
2847,right wing,left,veteran,7.0,7.0,lisens to weird music when practicing
2556,center,left,sophomore,8.0,8.0,turnover issues in breakout plays
2400,center,left,sophomore,3.0,3.0,steady presence under pressure
1283,center,left,sophomore,5.0,5.0,"stride lacks fluidity, will not pick up dropped gloves without tapping them first"
759,defense,left,sophomore,8.0,5.0,
905,defense,right,sophomore,6.0,6.0,"an elite and smart player, strong balance in physical play"
6629,left wing,,veteran,12.0,4.0,strong net front presence
7929,right wing,left,veteran,2.0,2.0,"a strong two-way player who excels in both offensive and defensive aspects of the game, high level concentration every shift, leading to avoidable turnovers, tapes the stick more than touching the puck"
2868,center,right,veteran,0.0,0.0,"applies constant pressure on puck carriers, consistently smart with the puck and effective in key moments"
7040,right wing,left,sophomore,8.0,8.0,timid in physical battles
5460,defense,left,veteran,4.0,4.0,a creative and aggressive playmaker
1470,defense,left,sophomore,4.0,3.0,aggressive but unfocused leading to poor execution
229,goalie,left,veteran,11.0,8.0,inventive playmaking in tight areas
3820,left wing,left,veteran,0.0,0.0,looks surprised when a pass connects
7969,goalie,left,veteran,10.0,10.0,kills penalties with good positioning
5046,defense,left,veteran,0.0,0.0,skates hard until it is time to backcheck
924,goalie,left,veteran,6.0,6.0,"shows creativity while maintaining structure, reckless decision making with the puck"
2624,right wing,right,rookie,3.0,2.0,slow transitions between plays
8675,defense,left,veteran,3.0,3.0,commands attention on the ice
2092,right wing,right,rookie,1.0,1.0,"relentless pressure on opponents, loses faceoff battles frequently"
1872,center,left,veteran,9.0,9.0,
8733,goalie,right,veteran,12.0,6.0,a player with a strong work ethic who is always striving to get better
3383,center,left,rookie,7.0,7.0,intelligent puck movement under pressure
9480,right wing,right,rookie,10.0,5.0,fully engaged every shift
9392,defense,right,veteran,10.0,8.0,raw skillset with strong potential
7133,goalie,left,rookie,4.0,1.0,strong and reliable presence on the ice
3186,defense,left,sophomore,10.0,10.0,
4240,defense,right,veteran,3.0,3.0,elite and smart player shows quick reads and strong leadership on the ice
3602,center,right,veteran,7.0,7.0,vision creates scoring chances
1450,defense,left,rookie,6.0,6.0,
7319,goalie,left,veteran,9.0,7.0,"clutch performance in key moments, reads passing lanes effectively, a player with a strong character who is respected by teammates and opponents alike, gap control allows easy entries"
3570,defense,left,rookie,1.0,1.0,but currently lacks discipline and consistency
6216,goalie,right,veteran,4.0,4.0,"a true student of the game who is always looking to improve, keeps a puck from every good bounce game"
6220,goalie,right,rookie,5.0,5.0,reads passing lanes effectively
3917,right wing,left,veteran,1.0,1.0,"tells stories on the bench that never end, always drinks from the same water bottle, ineffective on the power play setup"
7404,defense,left,veteran,3.0,3.0,"aggressive pursuit of loose pucks, ineffective on the power play setup, accurate one timer release"
2127,goalie,left,rookie,8.0,7.0,but currently lacks discipline and consistency
8228,goalie,right,sophomore,5.0,5.0,
4380,center,left,rookie,9.0,8.0,"a player with a great sense of loyalty, effort varies throughout the game"
4733,goalie,left,rookie,10.0,6.0,"locked in throughout the game, creative and clutch performer with elite vision and strong execution"
8718,center,left,veteran,8.0,8.0,stays focused and disciplined in all situations
8538,goalie,,veteran,9.0,9.0,
7243,defense,left,sophomore,4.0,3.0,reckless pinches at the blue line
7659,defense,left,sophomore,7.0,7.0,
6288,left wing,left,rookie,5.0,4.0,
3169,goalie,left,rookie,0.0,0.0,
955,defense,left,sophomore,1.0,1.0,physical edge in net front battles
5707,center,left,veteran,3.0,3.0,creative puck handling and vision
5786,left wing,left,rookie,6.0,5.0,"an elite and smart player, raw potential but currently too inconsistent and unfocused"
4746,right wing,left,sophomore,0.0,0.0,reckless pinches at the blue line
6190,right wing,right,sophomore,0.0,0.0,"aggressive behaviour on the ice but a great teammate off it, quick and focused skater with elite awareness and smart positioning, trusted in late game situations"
8342,left wing,left,rookie,0.0,0.0,poor awareness in defensive zone
7662,center,left,sophomore,6.0,6.0,a natural leader who inspires teammates with his work ethic and dedication
5129,goalie,right,sophomore,0.0,0.0,
8747,center,left,veteran,13.0,8.0,misreads developing plays
8547,right wing,right,veteran,3.0,3.0,dynamic impact in transition play
7697,goalie,right,veteran,8.0,8.0,slow pace limits impact and leads to inconsistent shifts
367,defense,right,sophomore,8.0,8.0,
2670,center,left,veteran,9.0,9.0,dynamic impact in transition play
8076,left wing,left,rookie,0.0,0.0,poor gap control defensively
678,right wing,left,rookie,4.0,4.0,"capable in clutch moments, lisens to weird music when practicing, inventive playmaking in tight areas"
4878,defense,,veteran,0.0,0.0,
3702,center,left,sophomore,1.0,1.0,focused and disciplined player delivers in key moments
8421,right wing,,veteran,9.0,9.0,slow pace limits impact and leads to inconsistent shifts
1651,left wing,left,veteran,10.0,10.0,creative passing in offensive zone
5579,right wing,left,rookie,2.0,0.0,"dependable in defensive situations, creates traffic in front of the net, a player with a great sense of responsibility who takes care of his teammates and the community"
8296,center,left,rookie,9.0,6.0,a player with a strong character who is respected by teammates and opponents alike
2012,defense,left,rookie,9.0,6.0,always forgets something and blames the coach
9403,defense,right,veteran,7.0,7.0,
3466,goalie,left,veteran,11.0,7.0,timid in physical battles
288,goalie,left,rookie,9.0,8.0,a true student of the game who is always looking to improve
8810,defense,left,veteran,10.0,9.0,late reactions to developing plays
743,left wing,left,sophomore,0.0,0.0,
5584,goalie,left,sophomore,10.0,8.0,accurate one timer release
6423,goalie,left,rookie,9.0,7.0,"reads rebounds quickly, has a lucky sock"
324,left wing,left,veteran,4.0,4.0,"celebrates near misses like goals, quick hands in tight spaces"
300,goalie,,veteran,11.0,6.0,though prone to lapses and poor execution
2803,right wing,left,veteran,6.0,6.0,
8515,right wing,left,veteran,11.0,6.0,never steps on the logo in the locker room
2751,,,,,,
6638,goalie,left,veteran,9.0,9.0,
4086,left wing,left,legend,12.0,8.0,inconsistent performance game to game
1083,goalie,right,rookie,6.0,5.0,loose positioning away from the puck
7771,goalie,left,rookie,7.0,7.0,acts like a referee after every whistle
5623,center,right,veteran,12.0,5.0,"stride lacks fluidity, physical edge in net front battles, quick and focused skater with elite awareness and smart positioning"
8739,defense,left,rookie,0.0,0.0,"focused throughout the entire game, anticipation comes a step late"
6188,defense,right,rookie,7.0,7.0,locked in throughout the game
7221,right wing,left,sophomore,10.0,7.0,refuses to change stick after a goal
9520,goalie,left,rookie,6.0,6.0,slow reaction to loose pucks
4280,defense,left,sophomore,9.0,9.0,"wins battles along the boards, creates space for teammates"
5711,defense,left,sophomore,1.0,1.0,panics under forecheck pressure
2947,defense,right,veteran,11.0,7.0,explosive first steps in open ice
4871,defense,left,veteran,8.0,8.0,
1648,right wing,left,sophomore,3.0,2.0,protects the puck under pressure
3667,goalie,right,sophomore,2.0,1.0,has a lucky sock
4780,goalie,left,veteran,2.0,2.0,"maintains structure in all zones, always takes the last lap in warmup, talks to the puck like it will listen"
8413,defense,left,sophomore,6.0,6.0,"lisens to weird music when practicing, explosive first steps in open ice"
9753,defense,left,veteran,6.0,6.0,a player with a strong character who is respected by teammates and opponents alike
8951,goalie,left,rookie,8.0,7.0,"dominant presence in all three zones, talks to the posts after hitting them"
5382,right wing,,veteran,9.0,9.0,a great teammate who supports and encourages others
9275,defense,right,rookie,8.0,6.0,undisciplined habits lead to turnovers and weak defensive play
800,defense,left,rookie,0.0,0.0,"creative and aggressive playstyle steps up in clutch moments, forces plays into traffic"
8456,center,right,sophomore,8.0,8.0,motivates others in the locker room
1353,defense,left,veteran,1.0,1.0,creative and aggressive playstyle steps up in clutch moments
532,goalie,left,rookie,0.0,0.0,disciplined positioning and playstyle
8086,center,left,veteran,6.0,6.0,explosive edge work in tight turns
7283,center,left,rookie,8.0,7.0,loves the glass more than the net
2526,defense,right,sophomore,5.0,5.0,but currently lacks discipline and consistency
2231,defense,left,rookie,6.0,6.0,always drinks from the same water bottle
308,right wing,left,rookie,9.0,7.0,mistimes involvement in the rush
8150,defense,left,veteran,8.0,8.0,
9464,defense,right,veteran,12.0,6.0,shows creativity while maintaining structure
791,defense,left,veteran,5.0,5.0,
2639,defense,,veteran,11.0,8.0,accurate one timer release
4097,center,left,rookie,3.0,3.0,
7636,left wing,,veteran,5.0,5.0,
3580,left wing,left,rookie,1.0,0.0,inconsistent performance with flashes of ability but lacks reliability
7509,defense,right,rookie,0.0,0.0,vocal presence on the bench
9543,defense,left,veteran,12.0,4.0,struggles with puck control on entries
2790,center,left,veteran,9.0,9.0,disciplined approach to positioning
1945,left wing,left,rookie,6.0,6.0,"locked in throughout the game, structured positioning in coverage"
1540,right wing,right,veteran,4.0,4.0,"undisciplined stick positioning, poor gap control defensively"
9224,right wing,left,veteran,0.0,0.0,penalty kill positioning breaks down
2308,goalie,left,sophomore,5.0,5.0,"inconsistent performance with flashes of ability but lacks reliability, shies away from net front battles"
1714,center,left,sophomore,4.0,4.0,"a player with a strong character who is respected by teammates and opponents alike, always gives high fives to the refs"
2307,goalie,left,sophomore,8.0,6.0,
1595,goalie,left,rookie,0.0,0.0,aggressive behaviour on the ice but a great teammate off it
7670,defense,left,rookie,6.0,6.0,ok player propably but i do not know him that well
8868,left wing,left,sophomore,7.0,7.0,
4137,defense,right,veteran,2.0,2.0,creates traffic in front of the net
1573,left wing,right,sophomore,8.0,8.0,only drinks from one specific water bottle
9816,center,,veteran,13.0,5.0,"an elite and smart player, adjusts helmet exactly three times before faceoff"
3650,center,left,rookie,7.0,7.0,
4738,center,left,veteran,12.0,6.0,elite presence that elevates team play
8405,right wing,left,veteran,11.0,5.0,elite-level awareness
719,right wing,left,veteran,0.0,0.0,smart reads in both zones
2160,left wing,right,veteran,7.0,7.0,"skates a solo circle before every shift, intelligent puck movement under pressure, undisciplined habits lead to turnovers and weak defensive play"
9313,goalie,left,rookie,0.0,0.0,always first to the bench after a long shift
3291,goalie,left,veteran,5.0,5.0,avoids net front battles
6069,left wing,left,sophomore,3.0,3.0,"fails to clear the crease, greate sence of humor, stride lacks fluidity"
4093,center,left,rookie,10.0,8.0,strong but sometimes reckless
5240,center,left,sophomore,0.0,0.0,circles a lot but goes nowhere
3699,defense,left,sophomore,8.0,7.0,"protects the puck under pressure, stride lacks fluidity"
228,defense,right,veteran,9.0,9.0,commands attention on the ice
4320,goalie,left,veteran,8.0,8.0,"applies constant pressure on puck carriers, maintains structure in all zones"
9349,right wing,left,veteran,10.0,8.0,
4192,defense,left,veteran,6.0,6.0,"though prone to lapses and poor execution, loses track of assignments"
3210,center,,veteran,10.0,10.0,disciplined approach to positioning
7427,defense,right,veteran,10.0,10.0,"gap control allows easy entries, combines intelligence with strong leadership qualities"
4452,goalie,left,veteran,9.0,8.0,lazy effort during shifts
6353,defense,right,veteran,10.0,9.0,windup on shots takes forever
1406,right wing,left,veteran,0.0,0.0,raw skill but undisciplined and inconsistent overall play
9534,defense,left,rookie,4.0,4.0,a player with a unique style who stands out on the ice and brings excitement to the game
4184,goalie,left,sophomore,3.0,3.0,"undisciplined positioning and play, undisciplined positioning and play, creative and clutch performer with elite vision and strong execution, trusted in late game situations"
9589,right wing,left,veteran,7.0,7.0,leader on and off the ice
901,defense,left,veteran,3.0,3.0,inventive playmaking in tight areas
1597,defense,left,sophomore,8.0,8.0,a player with a great attitude who is a positive influence in the locker room
9069,left wing,,veteran,0.0,0.0,smart decision making with the puck
6227,goalie,left,sophomore,0.0,0.0,a fierce competitor who never gives up and always plays with heart
4706,defense,left,sophomore,2.0,1.0,"a player with a strong work ethic who is always striving to get better, inconsistent effort levels"
5954,defense,left,veteran,9.0,9.0,"disciplined and reliable performer, smart reads in both zones"
8713,center,left,legend,10.0,10.0,
5812,goalie,left,veteran,3.0,3.0,"poor awareness in defensive zone, turnover prone under pressure, keeps calling for the puck even when covered"
6622,defense,right,rookie,1.0,1.0,"quick acceleration and reaction speed, always looks at the clock before stepping on ice, dependable in defensive situations, intelligent puck movement under pressure"
7904,right wing,right,veteran,10.0,9.0,"aggressive pursuit of loose pucks, a player with a great sense of responsibility who takes care of his teammates and the community"
2070,center,left,rookie,6.0,6.0,"drops the stick at the worst moments, leader on and off the ice"
3123,left wing,right,sophomore,0.0,0.0,"though prone to lapses and poor execution, high level concentration every shift"
7187,defense,left,veteran,8.0,8.0,a player with a great sense of humility who never takes his success for granted and always gives credit to his teammates and coaches
7049,defense,,veteran,13.0,6.0,anticipation comes a step late
5530,left wing,left,sophomore,7.0,7.0,"creative puck handling and vision, slow reactions cause missed opportunities and poor positioning"
2631,defense,left,veteran,10.0,8.0,"always forgets something and blames the coach, a creative and aggressive playmaker"
8908,goalie,left,sophomore,9.0,8.0,poor awareness in defensive zone
7925,goalie,left,rookie,10.0,4.0,elite awareness and smart positioning
4767,right wing,right,rookie,7.0,7.0,
8952,goalie,left,rookie,8.0,8.0,reliable in all game situations
5073,center,right,veteran,1.0,1.0,handles the puck well under pressure
6268,goalie,,veteran,11.0,6.0,"timid playstyle struggles to make an impact in key moments, slow skating limits effectiveness, drives play with constant energy, struggles with puck control on entries"
2315,defense,left,sophomore,1.0,1.0,though prone to lapses and poor execution
7359,left wing,right,sophomore,5.0,5.0,aggressive forechecking pressure
6339,left wing,right,veteran,11.0,3.0,celebrates near misses like goals
7387,defense,right,veteran,9.0,9.0,"combines intelligence with strong leadership qualities, refuses to change stick after a goal"
758,center,right,veteran,9.0,9.0,"a player with a strong work ethic who is always striving to get better, quick acceleration and reaction speed, joins the rush at the right time"
1397,defense,left,veteran,0.0,0.0,greate sence of humor
1442,center,right,veteran,10.0,8.0,raw mechanics in skating stride
204,center,left,veteran,9.0,9.0,panics under forecheck pressure
692,center,left,rookie,6.0,5.0,skates hard until it is time to backcheck
3832,left wing,left,rookie,6.0,6.0,strong and aggressive competitor with reliable defensive habits
6476,center,left,rookie,7.0,7.0,creates space for teammates
7170,left wing,right,sophomore,3.0,3.0,
6602,defense,left,sophomore,7.0,7.0,"aggressive style can turn careless, disciplined and reliable performer brings consistency every shift, resulting in poor decision-making"
1817,center,right,rookie,0.0,0.0,aggressive pursuit of loose pucks
9720,right wing,left,rookie,4.0,4.0,
3344,center,left,rookie,8.0,5.0,"elite-level awareness, leading to inconsistent play, brings snacks for everyone after practice"
6877,left wing,left,sophomore,6.0,6.0,reliable shift to shift consistency
5517,goalie,left,sophomore,0.0,0.0,aggressive forechecking pressure
1297,left wing,left,veteran,11.0,6.0,
3013,left wing,left,veteran,8.0,8.0,"quick yet undisciplined, clutch performance in key moments"
1211,defense,left,veteran,3.0,3.0,poor gap control defensively
8058,defense,left,rookie,7.0,7.0,"lisens to weird music when practicing, smart decision making with the puck"
3804,defense,left,rookie,0.0,0.0,loses track of assignments
8785,left wing,left,rookie,0.0,0.0,high level concentration every shift
9841,center,left,veteran,0.0,0.0,quick yet undisciplined
8062,defense,left,veteran,4.0,4.0,inconsistent performance game to game
2148,center,right,veteran,8.0,8.0,quick and focused skater with elite awareness and smart positioning
8244,center,right,sophomore,5.0,5.0,"performance fluctuates shift to shift, effort varies throughout the game"
2937,defense,left,sophomore,6.0,5.0,kills penalties with good positioning
8930,defense,left,rookie,1.0,0.0,"avoids net front battles, shows creativity while maintaining structure"
8269,goalie,left,veteran,5.0,5.0,"wins faceoffs consistently, sharp anticipation of developing plays"
1220,defense,right,rookie,9.0,8.0,circles a lot but goes nowhere
3456,left wing,left,sophomore,7.0,7.0,"has a secret handshake with the goalie, timid and passive approach limits overall effectiveness"
2695,right wing,left,sophomore,3.0,3.0,
8313,left wing,left,rookie,7.0,7.0,elite and smart player shows quick reads and strong leadership on the ice
8283,defense,left,sophomore,9.0,9.0,"loose positioning away from the puck, disciplined positioning and playstyle"
8534,left wing,left,rookie,5.0,5.0,stride lacks fluidity
139,center,left,veteran,10.0,9.0,timid playstyle struggles to make an impact in key moments
8094,right wing,left,veteran,9.0,9.0,
6059,defense,left,rookie,5.0,4.0,loves the glass more than the net
7310,right wing,left,sophomore,1.0,1.0,"relentless pressure on opponents, dominant presence in all three zones, kills penalties with good positioning, penalty kill positioning breaks down"
8117,defense,left,sophomore,7.0,7.0,focused throughout the entire game
651,defense,left,sophomore,0.0,0.0,"has a lucky sock, keeps a puck from every good bounce game, aggressive behaviour on the ice but a great teammate off it"
6255,left wing,left,rookie,9.0,6.0,can take unnecessary risks under pressure
3936,center,right,sophomore,7.0,7.0,adjusts helmet exactly three times before faceoff
6277,right wing,,veteran,11.0,7.0,a player with a great sense of responsibility who takes care of his teammates and the community
4709,defense,left,rookie,5.0,5.0,elite presence that elevates team play
2719,left wing,left,veteran,5.0,5.0,"quick yet undisciplined, creates space for teammates, solid gap control on defense"
5801,left wing,right,rookie,8.0,6.0,clears the crease effectively
4539,left wing,left,rookie,2.0,2.0,always has a witty comment for the media
3359,left wing,left,sophomore,8.0,8.0,a skilled playmaker who can create scoring chances for himself and others
3185,left wing,left,veteran,10.0,9.0,turnover issues in breakout plays
2397,defense,left,veteran,10.0,8.0,smart reads in both zones
5918,right wing,left,sophomore,0.0,0.0,late support on breakouts
221,right wing,left,rookie,3.0,3.0,holds onto the puck too long
9383,defense,left,veteran,7.0,7.0,
6455,defense,left,sophomore,0.0,0.0,a true student of the game who is always looking to improve
5249,defense,right,rookie,1.0,0.0,"shoots from anywhere just in case, talks to the posts after hitting them, fails to clear the crease, forces plays into traffic"
6734,goalie,left,sophomore,7.0,7.0,never steps on the logo in the locker room
5086,right wing,,veteran,5.0,5.0,overhandles the puck in pressure
9823,goalie,left,rookie,8.0,7.0,"shots miss the net too often, trusted in late game situations, lazy backchecking effort"
7471,defense,left,rookie,2.0,2.0,"motivates others in the locker room, reckless pinches at the blue line"
3417,center,left,rookie,3.0,3.0,"inventive playmaking in tight areas, focused throughout the entire game"
9239,defense,right,veteran,0.0,0.0,circles a lot but goes nowhere
7777,right wing,right,rookie,2.0,1.0,
8843,right wing,left,rookie,9.0,7.0,"tries the fancy move every time, raw skillset with strong potential, aggressive pursuit of loose pucks"
5175,defense,left,veteran,6.0,6.0,smart decision making with the puck
4788,left wing,left,sophomore,6.0,6.0,sets the tone early in games
9044,goalie,right,veteran,10.0,6.0,
9221,defense,left,veteran,10.0,8.0,leader who drives team energy
456,right wing,left,rookie,4.0,4.0,"slow transitions between plays, retapes stick between every period no matter what, always looks at the clock before stepping on ice"
5769,defense,right,rookie,6.0,6.0,explosive first steps in open ice
7345,defense,right,veteran,12.0,5.0,consistently smart with the puck and effective in key moments
7590,goalie,left,veteran,6.0,6.0,undisciplined stick positioning
4154,center,left,rookie,7.0,7.0,"reckless pinches at the blue line, loses track of assignments"
6994,right wing,right,rookie,0.0,0.0,inconsistent effort levels
3968,left wing,left,rookie,0.0,0.0,"gets caught puck watching, shows flashes of creativity but remains inconsistent in overall performance"
2404,left wing,left,veteran,5.0,5.0,unrefined skating technique
615,defense,right,veteran,7.0,7.0,"lazy effort during shifts, windup on shots takes forever"
2346,goalie,left,sophomore,6.0,5.0,reliable shift to shift consistency
7094,right wing,right,rookie,9.0,5.0,raw skillset with strong potential
1411,goalie,left,veteran,8.0,8.0,disciplined positioning and playstyle
8754,goalie,right,veteran,7.0,7.0,"raw potential but currently too inconsistent and unfocused, panics under forecheck pressure"
8181,center,left,veteran,0.0,0.0,clears the crease effectively
2929,left wing,left,veteran,8.0,8.0,strong but sometimes reckless
8234,center,left,veteran,0.0,0.0,quick acceleration and reaction speed
5159,left wing,left,veteran,8.0,8.0,avoids net front battles
6198,defense,right,veteran,12.0,5.0,"gap control allows easy entries, gets caught puck watching"
1575,right wing,right,rookie,10.0,7.0,celebrates near misses like goals
2263,goalie,right,veteran,8.0,8.0,
7197,defense,left,veteran,8.0,8.0,
4497,defense,right,sophomore,10.0,7.0,timid engagement in corners
6365,left wing,left,veteran,5.0,5.0,"celebrates every goal like it wins the cup, always takes the last lap in warmup, keeps a puck from every good bounce game"
7472,right wing,left,veteran,5.0,5.0,"a player with a great sense of humor who keeps the team loose and having fun, strong physical presence along the boards"
3753,center,left,veteran,0.0,0.0,shots miss the net too often
517,defense,left,veteran,10.0,9.0,
9563,defense,left,veteran,0.0,0.0,maintains structure in all zones
4964,defense,left,sophomore,10.0,7.0,"does not know when to stop celebrating, strong physical presence along the boards"
4945,left wing,left,veteran,7.0,7.0,undisciplined positioning and play
6658,defense,left,veteran,10.0,10.0,talks to the posts after hitting them
4474,defense,left,veteran,11.0,5.0,"a player with a high hockey IQ who reads the game well and makes smart decisions, poor awareness in defensive zone"
8637,right wing,left,veteran,12.0,5.0,hesitates to block shots
3550,defense,left,veteran,8.0,8.0,"locked in throughout the game, a natural leader who inspires teammates with his work ethic and dedication"
3625,right wing,left,veteran,11.0,6.0,"late support on breakouts, late support on breakouts, leader on and off the ice, disciplined and reliable performer, late support on breakouts"
289,defense,left,veteran,9.0,9.0,leading to inconsistent play
2817,right wing,right,sophomore,9.0,5.0,undisciplined habits lead to turnovers and weak defensive play
9337,defense,left,rookie,9.0,9.0,"though prone to lapses and poor execution, reliable shift to shift consistency, creative and aggressive playstyle steps up in clutch moments, stays focused and disciplined in all situations, slow skating limits effectiveness"
9281,defense,left,sophomore,8.0,8.0,creates traffic in front of the net
3117,defense,left,veteran,8.0,8.0,a skilled playmaker who can create scoring chances for himself and others
6701,goalie,right,rookie,4.0,3.0,struggles reading the play
2335,defense,left,veteran,3.0,3.0,weak awareness in coverage
1921,defense,left,rookie,4.0,3.0,commands attention on the ice
9101,defense,right,sophomore,3.0,3.0,timid and passive approach limits overall effectiveness
158,right wing,left,veteran,0.0,0.0,only drinks from one specific water bottle
5272,left wing,left,rookie,7.0,7.0,"always has a positive attitude, leading to inconsistent play, keeps shots low and on target, smart reads in both zones"
3295,defense,left,veteran,9.0,7.0,reliable in all game situations
5215,defense,,veteran,6.0,6.0,
8817,defense,left,veteran,7.0,7.0,"loves the glass more than the net, strong but sometimes reckless"
1849,defense,right,veteran,11.0,6.0,quick hands in tight spaces
6185,center,left,veteran,10.0,7.0,skates a solo circle before every shift
7016,left wing,right,veteran,12.0,4.0,loose positioning away from the puck
3483,center,left,rookie,5.0,5.0,penalty kill positioning breaks down
547,right wing,left,veteran,1.0,1.0,strong and reliable presence on the ice
3455,left wing,left,veteran,11.0,4.0,"elite and smart player shows quick reads and strong leadership on the ice, a creative and aggressive playmaker"
3047,right wing,left,sophomore,4.0,4.0,weak awareness in coverage
8846,goalie,right,rookie,7.0,7.0,late reactions to developing plays
7831,right wing,left,veteran,9.0,9.0,creative and clutch performer with elite vision and strong execution
8164,defense,right,sophomore,8.0,8.0,
7223,center,right,veteran,8.0,8.0,strong net front presence
7287,goalie,left,sophomore,5.0,5.0,capable in clutch moments
127,defense,left,rookie,5.0,5.0,
2966,right wing,right,sophomore,0.0,0.0,
2173,center,left,sophomore,7.0,7.0,"a consistent performer who can be counted on in any situation, combines intelligence with strong leadership qualities, gets caught puck watching"
2152,right wing,left,rookie,0.0,0.0,"steady presence under pressure, focused throughout the entire game, mistimes involvement in the rush"
1491,defense,left,veteran,12.0,4.0,"erratic decision making with the puck, strong and reliable presence stays focused and disciplined in all situations"
